,Full Complaint ID,Complaint Year Number,Month Number,Record Create Date,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id
291,202100912382617,2021,7,07/20/2021,9,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,08/11/2021,M33696391
292,202100612389017,2021,8,08/16/2021,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, BY FIRE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,08/16/2021,M33697103
293,202101912466517,2021,6,06/22/2021,19,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,08/17/2021,M33697151
294,202101312584117,2021,8,08/22/2021,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,08/24/2021,M33698089
295,202101412810617,2021,8,08/26/2021,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,08/26/2021,M33698336
296,202103212587717,2021,8,08/26/2021,32,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,08/26/2021,M33698436
297,202102012328117,2021,7,07/25/2021,20,PATROL BORO MAN NORTH,NEW YORK,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",ANTI-ASIAN,Race/Color,08/27/2021,M33698488
298,202101412846917,2021,9,09/05/2021,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/05/2021,M33699519
299,202101412871317,2021,9,09/11/2021,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,STRANGULATION 1ST,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/11/2021,M33700248
301,202101412582817,2021,6,06/19/2021,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,09/21/2021,M33701548
302,202101412911917,2021,9,09/21/2021,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,09/23/2021,M33701797
303,202100712486817,2021,9,09/23/2021,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,09/23/2021,M33701825
304,202100712464717,2021,9,09/12/2021,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,09/29/2021,M33702584
305,201911412213917,2019,2,02/23/2019,114,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,02/23/2019,Q31679178
306,201911212135117,2019,2,02/22/2019,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,02/27/2019,Q31679685
309,201910712236517,2019,4,04/03/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,04/04/2019,Q31684836
311,201911212191317,2019,4,04/07/2019,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,04/07/2019,Q31685303
312,201911312390117,2019,4,04/26/2019,113,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,ANTI-BLACK,Race/Color,04/25/2019,Q31687940
313,201910212301317,2019,4,04/30/2019,102,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-MUSLIM,Religion/Religious Practice,04/29/2019,Q31688353
314,201910312418917,2019,5,05/14/2019,103,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,05/14/2019,Q31690349
315,201910112130217,2019,2,02/11/2019,101,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,06/27/2019,Q31696251
316,201911012501517,2019,6,06/29/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,06/29/2019,Q31696472
317,201911012501917,2019,6,06/29/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,07/23/2019,Q31699814
318,201911012502017,2019,6,06/29/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,07/23/2019,Q31699816
320,201910112540217,2019,10,10/15/2019,101,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,10/15/2019,Q31710151
321,201911512784517,2019,9,09/12/2019,115,PATROL BORO QUEENS NORTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,12/16/2019,Q31717201
322,201911512784617,2019,9,09/12/2019,115,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,12/16/2019,Q31717202
327,202011112104117,2020,2,02/04/2020,111,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,02/10/2020,Q32676547
328,202011212158517,2020,3,03/12/2020,112,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,03/14/2020,Q32680497
329,202011212227317,2020,5,05/24/2020,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/24/2020,Q32685894
330,202011512455917,2020,5,06/04/2020,115,PATROL BORO QUEENS NORTH,QUEENS,FELONY,GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",60 YRS AND OLDER,Age,06/05/2020,Q32686914
331,202010712338517,2020,6,06/06/2020,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,06/06/2020,Q32686988
332,202011012416017,2020,6,06/12/2020,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-HINDU,Religion/Religious Practice,06/12/2020,Q32687409
333,202011212198417,2020,4,04/26/2020,112,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-ASIAN,Race/Color,07/07/2020,Q32688927
334,202010112462317,2020,9,09/07/2020,101,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MURDER & NON-NEGL. MANSLAUGHTE,"MANSLAUGHTER,UNCLASSIFIED - NO",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/07/2020,Q32693311
335,202011412809517,2020,8,09/15/2020,114,PATROL BORO QUEENS NORTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,09/21/2020,Q32694547
336,202010112488017,2020,9,09/24/2020,101,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,09/24/2020,Q32694806
337,202011412875617,2020,10,10/01/2020,114,PATROL BORO QUEENS NORTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,10/01/2020,Q32695451
338,202010012361717,2020,10,10/02/2020,100,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/14/2020,Q32696681
339,202010012305417,2020,7,08/11/2020,100,PATROL BORO QUEENS SOUTH,QUEENS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/14/2020,Q32696686
340,202010012307317,2020,8,08/12/2020,100,PATROL BORO QUEENS SOUTH,QUEENS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/14/2020,Q32696687
341,202010012315917,2020,8,08/19/2020,100,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/14/2020,Q32696688
342,202011212409117,2020,11,11/07/2020,112,PATROL BORO QUEENS NORTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,11/12/2020,Q32699240
343,202110912249917,2021,3,03/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,03/12/2021,Q33678801
344,202110912248917,2021,3,03/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-ASIAN,Race/Color,03/12/2021,Q33678904
345,202110912249717,2021,3,03/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-ASIAN,Race/Color,03/12/2021,Q33678907
346,202110912249417,2021,3,03/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,03/12/2021,Q33678908
347,202111512284017,2021,3,03/27/2021,115,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,03/27/2021,Q33680385
348,202111412403817,2021,4,04/12/2021,114,PATROL BORO QUEENS NORTH,QUEENS,FELONY,ROBBERY,"ROBBERY,RESIDENTIAL COMMON AREA",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,04/12/2021,Q33681793
349,202111212132017,2021,2,02/17/2021,112,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/15/2021,Q33682126
350,202111412423217,2021,4,04/17/2021,114,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,04/17/2021,Q33682266
351,202111012313417,2021,4,04/19/2021,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,04/19/2021,Q33682365
352,202111012313717,2021,4,04/19/2021,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,04/19/2021,Q33682366
353,202111012138317,2021,1,01/31/2021,110,PATROL BORO QUEENS NORTH,QUEENS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-MUSLIM,Religion/Religious Practice,04/20/2021,Q33682476
354,202110012183917,2021,5,05/11/2021,100,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/10/2021,Q33684042
355,202110212332717,2021,9,05/21/2021,102,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-WHITE,Race/Color,05/28/2021,Q33685718
356,202111012416217,2021,5,05/31/2021,110,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,06/03/2021,Q33686343
357,202111012416317,2021,5,05/31/2021,110,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,06/03/2021,Q33686371
358,202111012416117,2021,5,05/31/2021,110,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,06/03/2021,Q33686378
359,202111212270917,2021,6,06/06/2021,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,06/17/2021,Q33687640
360,202111212278417,2021,6,06/13/2021,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,06/17/2021,Q33687647
361,202111512549617,2021,6,06/29/2021,115,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,06/29/2021,Q33688706
363,202110212334917,2021,5,05/22/2021,102,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,07/01/2021,Q33688936
364,202111512568317,2021,7,07/06/2021,115,PATROL BORO QUEENS NORTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-GENDER NON-CONFORMING,Gender,07/15/2021,Q33690220
365,202110712308117,2021,5,05/23/2021,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-ASIAN,Race/Color,07/22/2021,Q33691020
366,202110712419917,2021,7,07/21/2021,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,07/22/2021,Q33691022
367,202110712354517,2021,6,06/16/2021,107,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,07/22/2021,Q33691024
368,202110712397917,2021,7,07/11/2021,107,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,07/22/2021,Q33691027
369,202111012537417,2021,7,07/15/2021,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,07/26/2021,Q33691384
370,202110612411317,2021,6,06/20/2021,106,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,07/27/2021,Q33691446
371,202110612411217,2021,6,06/20/2021,106,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,07/27/2021,Q33691447
372,202110312475717,2021,6,06/20/2021,103,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,07/27/2021,Q33691448
373,202110312574017,2021,7,07/26/2021,103,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,07/27/2021,Q33691449
374,202110412560617,2021,8,08/03/2021,104,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-WHITE,Race/Color,08/03/2021,Q33692103
375,202110812483917,2021,7,08/01/2021,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/07/2021,Q33695573
376,202110812497217,2021,7,08/08/2021,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/07/2021,Q33695575
377,202110812480717,2021,7,07/31/2021,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,09/07/2021,Q33695576
378,202111212321317,2021,7,07/17/2021,112,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,09/10/2021,Q33695904
379,202110112170417,2021,2,03/11/2021,101,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/23/2021,Q33697244
380,202012012514817,2020,7,07/29/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-BLACK,Race/Color,08/06/2020,S32675770
381,202012012516917,2020,7,07/29/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,08/06/2020,S32675771
382,202012012524417,2020,7,08/01/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,08/06/2020,S32675772
383,202012012519817,2020,7,07/30/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,08/06/2020,S32675773
384,202012012524517,2020,8,08/01/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,08/06/2020,S32675775
385,202112012244617,2021,3,03/24/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,03/24/2021,S33673857
386,202112012244717,2021,3,03/24/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,03/24/2021,S33673858
387,202112012163017,2021,2,02/15/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-BLACK,Race/Color,03/24/2021,S33673859
388,202012012258917,2020,3,03/14/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Unclassified,03/24/2021,S33673860
389,202012012593217,2020,8,08/31/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-BLACK,Race/Color,03/24/2021,S33673861
390,202012012601717,2020,9,09/03/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,03/24/2021,S33673862
391,202012012602217,2020,9,09/03/2020,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,03/24/2021,S33673863
392,202112012450617,2021,6,06/21/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,06/24/2021,S33675609
393,202112212366017,2021,6,06/30/2021,122,PATROL BORO STATEN ISLAND,RICHMOND,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,06/30/2021,S33675709
396,202112312163517,2021,4,04/28/2021,123,PATROL BORO STATEN ISLAND,RICHMOND,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,07/09/2021,S33675929
397,201900112120417,2019,1,01/22/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
398,201900112125917,2019,1,01/24/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
399,201900112154717,2019,2,02/06/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
400,201900112165817,2019,2,02/11/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
401,201900112220917,2019,3,03/07/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
402,201900112262817,2019,3,03/24/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,UNKNOWN,UNKNOWN
403,201900112405017,2019,5,05/23/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,UNKNOWN,UNKNOWN
404,201900112502817,2019,6,06/30/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,UNKNOWN,UNKNOWN
405,201900112618217,2019,8,08/14/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,UNKNOWN,UNKNOWN
406,201900112859817,2019,11,11/14/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
407,201900112904517,2019,12,12/04/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
408,201900512076217,2019,1,01/03/2019,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,UNKNOWN,UNKNOWN
409,201900512257217,2019,4,04/18/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
410,201900512417817,2019,7,07/22/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,UNKNOWN,UNKNOWN
411,201900612153717,2019,3,03/05/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,UNKNOWN,UNKNOWN
412,201900612299917,2019,6,06/07/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,UNKNOWN,UNKNOWN
